a,b,Y
0.07037422248825714,-0.04025650089175991,0
-0.09629221145173403,0.006522487817745125,0
-0.03356299727132687,0.07097698175981038,0
0.0009078631299124027,0.0017381960724934848,0
-0.05716877597268968,0.007828201763076954,0
-0.011842593585249653,-0.0125220988459552,0
0.000681676504566786,-0.015646033650794797,0
0.0058933050182760766,0.04080846640759658,0
0.059216270869389305,-0.01451611270390598,0
-0.06648889577875078,0.023935320027265616,0
0.13962843346718287,0.020548301736696244,0
-0.04525798228852439,-0.1538194460400798,0
0.08056950261020614,0.136886755347307,0
0.02956167925022994,-0.17356440896856,0
0.023148860252319207,0.004817901403116875,0
-0.05721740721203223,0.13295443151495245,0
-0.14410776459137759,-0.041597060488426665,0
0.03450757609753635,-0.046274827242274254,0
-0.005459760139641843,0.012528936232618,0
-0.04716266024288668,-0.06871811037910257,0
0.04162608107537493,-0.04451776037223191,0
0.08625442913867436,0.0020368260738677377,0
0.17624056500974492,-0.058710887850811994,0
0.013633395268980341,0.01356463012739165,0
0.010574740811388266,-0.013546682550784003,0
0.008768852353634188,0.008958688550158222,0
0.011084449185622337,-0.007384261449504469,0
0.0713412591185807,-0.11489611824036718,0
-0.07223657360084583,-0.04249196638340339,0
0.023193447673403672,0.029372111627693494,0
0.009973403002031074,0.19431226234479804,0
-0.04382950690754982,0.012901699529892646,0
0.043896668404943766,0.06861933468987737,0
-0.0012672641231081178,0.008509271747305825,0
0.020812318719817195,0.054037636934781114,0
-0.011453910800271503,-0.028609140307499042,0
0.06282096423461744,0.02821633756599323,0
-0.04359822604689202,-0.042970376074258465,0
-0.03357856861382428,0.01788401800237916,0
-0.07435774886245404,0.018489519523283357,0
0.09117434591936217,0.017199481442255114,0
-0.005146263646474793,-0.012081294759265468,0
0.027255732906522147,0.011337756560225351,0
0.021673005550287932,-0.1389018715797678,0
-0.07671050771562636,0.09396760971075346,0
-0.04192363350797647,0.13586579003895857,0
-0.035852728868501105,0.0031764595880922138,0
0.0005827177272307187,0.010998731035462986,0
-0.05673977841476505,-0.019474640221022646,0
-0.07476614428961915,0.013609709608702026,0
0.006881957939838562,-0.0098803698333423,0
-0.09500832138708039,0.20547319995038504,0
0.03992117630000163,0.03417430304164868,0
-0.023682791901089833,-0.019025888245403758,0
0.09295753865729316,0.012468666663840638,0
0.01618226853994424,0.012304867234424553,0
-0.06652221698796784,-0.008892661931325239,0
-0.03310338656025385,0.033860901913383486,0
0.026979414746504508,0.010042186446495897,0
-0.025767327123584063,-0.02721321217789286,0
-0.00727317588725965,-0.03217027452048439,0
0.0060269142974273176,-0.026073676057277676,0
-0.007710496487119796,0.08223769463112941,0
-0.05848006833169493,-0.02923887419457493,0
0.0013594576990493957,-0.0013757491233794947,0
0.10297584836994111,0.07231139845946646,0
-0.019378714153536362,-0.008087956796241295,0
0.006354484587005342,0.013422479914433216,0
0.019621703545363724,-0.010115365227386265,0
0.13028571524268195,0.12237223310438325,0
-0.02248160777426445,-0.025640783182592917,0
-0.014067847043726909,-0.00013798971223949233,0
-0.01115071213962204,-0.01196895325358951,0
0.03191584121146788,0.010392833409041215,0
-0.0544771591755458,-0.0070383120364154355,0
-0.09539197197693186,-0.19006559321850552,0
-0.05958351250188562,-0.11567610092581551,0
-0.05467676894650747,0.03688129403763012,0
0.006604050205915836,0.002792304091177693,0
0.06234909506413183,0.02212192686440567,0
0.005935257281944224,-0.0031922146675320818,0
-0.16428136448002778,-0.07537078087279851,0
0.1839315626243541,0.01871607758830043,0
0.10964361873630833,0.04028168259547779,0
-0.047841217474219065,0.03473986370435613,0
